created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name
2026-02-27 03:40:28.476,0.00059,,-0.000001,0,0,402,943,782,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,11317,1128,Arbiter conflict-detection
2026-02-27 03:40:24.332,0.0001,,,0,0,406,132,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,4028,123,Arbiter conflict-detection
2026-02-27 03:40:22.531,0.00011,,,0,0,425,170,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,1720,482,Arbiter conflict-detection
2026-02-27 03:40:08.935,0.000448,,-0.000001,0,0,379,671,633,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,7224,1197,Arbiter conflict-detection
2026-02-27 03:40:07.606,0.00016,,,0,0,382,38,0,0,qwen/qwen-2.5-72b-instruct,Novita,standard,false,true,stop,stop,1176,342,Arbiter conflict-detection
2026-02-27 03:40:06.809,0.000059,,,0,0,400,48,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,621,381,Arbiter conflict-detection
2026-02-27 03:39:57.109,0.000504,,-0.000001,0,0,396,774,604,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,7767,674,Arbiter conflict-detection
2026-02-27 03:39:53.813,0.000103,,,0,0,398,142,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,3102,57,Arbiter conflict-detection
2026-02-27 03:39:51.081,0.000132,,,,0,419,226,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,2014,367,Arbiter conflict-detection
2026-02-27 03:39:44.966,0.000059,,,0,0,410,47,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,725,553,Arbiter conflict-detection
2026-02-27 03:39:42.416,0.000111,,,,0,425,172,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,1557,289,Arbiter conflict-detection
2026-02-27 03:39:39.549,0.000063,,,,0,514,30,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,487,320,Arbiter conflict-detection
2026-02-27 03:33:18.993,0.010386,,,0,0,7859,5735,5367,0,z-ai/glm-4.7-20251222,Io Net,standard,false,true,stop,stop,287635,1331,arbiter-scourer
2026-02-27 03:32:17.844,0.001264,,,0,0,7194,1028,0,0,qwen/qwen3-235b-a22b-07-25,SiliconFlow,standard,false,true,stop,stop,54555,4849,arbiter-scourer
2026-02-27 03:31:37.146,0.002619,,-0.000022,0,0,7155,2422,1532,153,x-ai/grok-4.1-fast,xAI,standard,false,true,completed,stop,32645,1226,arbiter-scourer
2026-02-27 03:29:57.485,0.002774,,-0.000022,0,0,5895,3236,2513,153,x-ai/grok-4.1-fast,xAI,standard,false,true,completed,stop,23852,655,arbiter-scourer
2026-02-27 03:29:55.534,0.003245,,,0,0,5871,3952,1967,0,deepseek/deepseek-v3.2-20251201,SiliconFlow,standard,false,true,stop,stop,92078,15507,arbiter-scourer
2026-02-27 03:28:51.984,0.001953,,,0,0,5077,1668,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,stop,stop,40813,1592,arbiter-scourer
2026-02-27 03:05:55.483,0.001535,,,0,0,29879,1946,934,0,openai/gpt-oss-120b,DeepInfra,standard,false,true,stop,stop,19923,1398,arbiter-scourer
2026-02-27 03:04:38.728,0,,,0,0,29323,1673,0,0,arcee-ai/trinity-large-preview,Arcee AI,free,false,true,stop,stop,67030,1950,arbiter-scourer
2026-02-27 03:01:45.622,0.000668,,-0.000024,0,0,428,1128,1084,108,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,11659,637,Arbiter conflict-detection
2026-02-27 03:01:44.961,0.000057,,,0,0,450,30,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,536,453,Arbiter conflict-detection
2026-02-27 03:01:21.402,0.000851,,-0.000024,0,0,483,1462,1414,107,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,14931,739,Arbiter conflict-detection
2026-02-27 03:01:19.121,0.000151,,,0,0,515,249,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,2074,478,Arbiter conflict-detection
2026-02-27 03:00:46.051,0.001183,,-0.000014,0,0,491,2100,1792,63,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,22897,741,Arbiter conflict-detection
2026-02-27 03:00:43.253,0.000177,,,0,0,514,315,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,2699,456,Arbiter conflict-detection
2026-02-27 03:00:29.685,0.028946,,0,0,0,27837,5566,2460,1,z-ai/glm-4.7-20251222,Z.AI,standard,false,true,stop,stop,209613,16525,arbiter-scourer
2026-02-27 03:00:10.115,0.001066,,-0.000024,0,0,488,1889,1604,107,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,20159,726,Arbiter conflict-detection
2026-02-27 03:00:07.759,0.000151,,,0,0,511,251,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,2192,512,Arbiter conflict-detection
2026-02-27 02:59:56.808,0.006064,,,0,0,27467,951,0,0,qwen/qwen3-235b-a22b-07-25,Together,standard,false,true,stop,stop,23141,2723,arbiter-scourer
2026-02-27 02:59:44.155,0.001035,,-0.000014,0,0,516,1789,1355,63,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,16736,669,Arbiter conflict-detection
2026-02-27 02:59:39.570,0.00031,,,,0,540,642,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,4511,426,Arbiter conflict-detection
2026-02-27 02:59:25.939,0.004324,,,0,0,28134,695,0,0,mistralai/mistral-nemo,Mistral,standard,false,true,stop,stop,8948,1838,arbiter-scourer
2026-02-27 02:59:15.972,0.000596,,-0.00002,0,0,402,994,855,93,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,9813,684,Arbiter conflict-detection
2026-02-27 02:59:12.556,0.000098,,,0,0,406,128,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,3288,252,Arbiter conflict-detection
2026-02-27 02:59:10.811,0.000108,,,,0,425,166,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,1598,411,Arbiter conflict-detection
2026-02-27 02:58:57.615,0.000497,,-0.000001,0,0,379,769,731,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,7186,743,Arbiter conflict-detection
2026-02-27 02:58:56.598,0.00006,,,0,0,382,38,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,872,145,Arbiter conflict-detection
2026-02-27 02:58:55.743,0.000058,,,0,0,400,47,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,746,520,Arbiter conflict-detection
2026-02-27 02:58:45.739,0.000502,,-0.00002,0,0,396,809,642,93,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,7930,691,Arbiter conflict-detection
2026-02-27 02:58:42.180,0.00011,,,0,0,398,160,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,3339,132,Arbiter conflict-detection
2026-02-27 02:58:40.090,0.000138,,,0,0,419,242,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,1994,467,Arbiter conflict-detection
2026-02-27 02:58:30.064,0.000059,,,,0,410,47,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,598,300,Arbiter conflict-detection
2026-02-27 02:58:27.570,0.000122,,,,0,425,199,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,1715,324,Arbiter conflict-detection
2026-02-27 02:58:24.838,0.000155,,,,0,514,261,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,1948,335,Arbiter conflict-detection
2026-02-27 02:58:01.637,0.001021,,-0.000001,0,0,465,1766,1450,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,17617,703,Arbiter conflict-detection
2026-02-27 02:57:57.094,0.000114,,,0,0,473,149,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,4444,252,Arbiter conflict-detection
2026-02-27 02:57:55.078,0.000113,,,0,0,494,161,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,1512,714,Arbiter conflict-detection
2026-02-27 02:57:33.081,0.000884,,-0.000001,0,0,492,1477,1290,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,14761,661,Arbiter conflict-detection
2026-02-27 02:57:31.562,0.000082,,,0,0,499,59,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,1324,129,Arbiter conflict-detection
2026-02-27 02:57:29.751,0.000134,,,0,0,521,205,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,1629,520,Arbiter conflict-detection
2026-02-27 02:57:12.534,0.000797,,-0.000001,0,0,423,1344,1045,5,x-ai/grok-3-mini,xAI,standard,false,true,completed,stop,14352,643,Arbiter conflict-detection
2026-02-27 02:57:11.183,0.000067,,,0,0,428,42,0,0,qwen/qwen-2.5-72b-instruct,DeepInfra,standard,false,true,stop,stop,1032,172,Arbiter conflict-detection
2026-02-27 02:57:09.575,0.000115,,,,0,447,177,0,0,google/gemini-2.0-flash-001,Google,standard,false,true,STOP,stop,1466,352,Arbiter conflict-detection
2026-02-27 02:42:22.966,0.011762,,-0.000008,0,0,24203,4100,1090,32,minimax/minimax-m2.5-20260211,Inceptron,standard,false,true,stop,stop,49551,1374,arbiter-scourer
2026-02-27 02:41:51.021,0.007491,,,0,0,24068,1168,0,0,meta-llama/llama-4-maverick-17b-128e-instruct,Together,standard,false,true,stop,stop,20870,748,arbiter-scourer
2026-02-27 02:41:13.078,0.006321,,-0.000019,0,0,23344,3343,1926,128,x-ai/grok-4.1-fast,xAI,standard,false,true,completed,stop,26325,1109,arbiter-scourer
2026-02-27 02:40:14.968,0.006762,,,0,0,22799,2196,0,0,deepseek/deepseek-v3.2-20251201,AtlasCloud,standard,false,true,stop,stop,41790,2653,arbiter-scourer
2026-02-27 02:28:45.947,0,,,0,0,27055,10279,8410,0,upstage/solar-pro-3,Upstage,free,true,true,,,682850,3151,arbiter-scourer
2026-02-27 02:23:08.818,0.053495,,,0,0,22536,3372,3209,0,deepseek/deepseek-r1,Azure,standard,false,true,stop,stop,51223,4176,arbiter-scourer
2026-02-26 18:04:43.263,0.030572,,,0,0,20554,9477,7133,0,moonshotai/kimi-k2.5-0127,SiliconFlow,standard,false,true,stop,stop,372329,4251,arbiter-scourer
2026-02-26 18:01:21.692,0.023801,,,0,0,20554,4096,4891,0,moonshotai/kimi-k2.5-0127,Parasail,standard,false,true,length,length,100199,1520,arbiter-scourer
2026-02-26 17:54:48.803,0.002977,,,0,0,20540,2309,0,0,google/gemini-2.0-flash-001,Google AI Studio,standard,false,true,STOP,stop,18775,887,arbiter-scourer
